No,Test_ID,Test_Label,Section Types,Sections,L,t,h,b,A,Pt,BC,Failure Mode,FM,Py,Fy,Pt/Py,"P(crl_s,crd_s)",KL_r,λc,Pne,λ(le-d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2_4,BC68D-3000-1S-600-2,O-2C,Open,3000,0.95,68,30.84,257.42,27.89,Fixed,L+F,LF,141.58,550.00,0.20,68.68,104.68,1.97,32.08,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2_5,BC68D-3000-2S-600-1,O-2C,Open,3000,0.95,68,30.84,257.42,31.27,Fixed,L+F,LF,141.58,550.00,0.22,68.68,104.68,1.97,32.08,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2_6,BC68D-3000-2S-600-2,O-2C,Open,3000,0.95,68,30.84,257.42,33.67,Fixed,L+F,LF,141.58,550.00,0.24,68.68,104.68,1.97,32.08,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2_7,BC87D-1500-1S-300-1,O-2C,Open,1500,0.95,87,39.3,320.66,85.01,Fixed,L+D+F,LDF,176.36,549.99,0.48,49.44,43.78,0.82,133.51,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2_8,BC87D-1500-1S-300-2,O-2C,Open,1500,0.95,87,39.3,320.66,83.61,Fixed,L+D+F,LDF,176.36,549.99,0.47,49.44,43.78,0.82,133.51,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2_9,BC87D-1500-2S-300-1,O-2C,Open,1500,0.95,87,39.3,320.66,85.9,Fixed,L+D+F,LDF,176.36,549.99,0.49,49.44,43.78,0.82,133.51,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2_10,BC87D-1500-2S-300-2,O-2C,Open,1500,0.95,87,39.3,320.66,85.11,Fixed,L+D+F,LDF,176.36,549.99,0.48,49.44,43.78,0.82,133.51,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2_11,BC87D-2800-1S-1400-1,O-2C,Open,2800,0.95,87,39.3,320.66,48.4,Fixed,L+F,LF,176.36,549.99,0.27,49.44,81.73,2.20,31.90,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2_12,BC87D-2800-1S-1400-2,O-2C,Open,2800,0.95,87,39.3,320.66,48.67,Fixed,L+F,LF,176.36,549.99,0.28,49.44,81.73,2.20,31.90,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2_13,BC87D-2800-2S-560,O-2C,Open,2800,0.95,87,39.3,320.66,58.02,Fixed,L+F,LF,176.36,549.99,0.33,49.44,81.73,1.52,66.74,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
