No,Test_ID,Test_Label,Section Types,Sections,L,t,h,b,A,Pt,BC,Failure Mode,FM,Py,Fy,Pt/Py,"P(crl_s,crd_s)",KL_r,λc,Pne,λ(le-d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,10_43,BBC-6-1500-L/8,O-2U,Open,1500.05,1.5,120.03,34.89,551.11,77.53,Fixed,L+F,LF,207.77,377.00,0.37,73.86,60.10,0.85,153.79,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,10_44,BBC-6-1500-L/4,O-2U,Open,1500.1,1.5,120,34.98,551.11,74,Fixed,L+F,LF,207.77,377.00,0.36,73.86,60.10,0.95,142.44,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,10_45,BBC-6-1500-L/2,O-2U,Open,1499.8,1.5,120.04,35.01,551.11,74.01,Fixed,F,F,207.77,377.00,0.36,73.86,60.09,1.28,104.84,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,11_1,10-3C-L500-S100-1,O-3C-1,Open,500,1,102,51,646.9,180.4,Fixed,L+D,LD,392.99,607.50,0.46,68.27,7.80,0.15,389.37,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,11_2,10-3C-L500-S100-2,O-3C-1,Open,500,1,102,51,646.2,178.2,Fixed,L+D,LD,392.57,607.51,0.45,68.27,7.90,0.15,388.95,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,11_3,10-3C-L2100-S500-1,O-3C-1,Open,2100,1,102,51,646.9,160.3,Fixed,L+D+FT,LDF,392.99,607.50,0.41,68.27,46.70,0.93,273.06,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,11_4,10-3C-L2100-S500-2,O-3C-1,Open,2100,1,102,51,648.3,156.9,Fixed,L+D+FT,LDF,393.84,607.50,0.40,68.27,46.80,0.93,273.30,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,11_5,10-3C-L2100-S100-1,O-3C-1,Open,2100,1,102,51,650,166.7,Fixed,L+D+FT,LDF,394.88,607.51,0.42,68.27,46.80,0.92,277.36,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,11_6,10-3C-L2100-S100-2,O-3C-1,Open,2100,1,102,51,647.2,166.2,Fixed,L+D+FT,LDF,393.17,607.49,0.42,68.27,46.90,0.92,275.97,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,11_7,10-3C-L6000-S983-1,O-3C-1,Open,6000,1,102,51,645.1,62.4,Fixed,L+D+FT,LDF,391.9,607.50,0.16,68.27,128.30,2.56,52.32,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,11_8,10-3C-L6000-S492-1,O-3C-1,Open,6000,1,102,51,647.6,56.6,Fixed,L+D+FT,LDF,393.42,607.50,0.14,68.27,127.80,2.54,53.48,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,11_9,10-3C-L6000-S492-2,O-3C-1,Open,6000,1,102,51,646.9,56.8,Fixed,L+D+FT,LDF,392.99,607.50,0.14,68.27,128.20,2.55,53.21,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,11_10,10-3C-L6000-S492EFG-1,O-3C-1,Open,6000,1,102,51,646.2,62.4,Fixed,L+D+FT,LDF,392.57,607.51,0.16,68.27,128.20,2.54,53.16,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,11_11,10-4C-L500-S100-1,HC-4C,Half-Closed,500,1,102,51,861.8,239.8,Fixed,L+D,LD,523.54,607.50,0.46,91.03,6.00,0.15,518.43,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,11_12,10-4C-L500-S100-2,HC-4C,Half-Closed,500,1,102,51,862.2,238.8,Fixed,L+D,LD,523.79,607.50,0.46,91.03,6.00,0.15,518.67,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,11_13,10-4C-L2100-500-1,HC-4C,Half-Closed,2100,1,102,51,862.3,198.6,Fixed,L+D+F,LDF,523.85,607.50,0.38,91.03,54.90,0.96,356.55,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,11_14,10-4C-L2100-500-2,HC-4C,Half-Closed,2100,1,102,51,861.1,197.1,Fixed,L+D+F,LDF,523.12,607.50,0.38,91.03,54.10,0.94,360.03,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,11_15,10-4C-L2100-100-1,HC-4C,Half-Closed,2100,1,102,51,861.8,207,Fixed,L+D+F,LDF,523.54,607.50,0.40,91.03,54.60,0.93,364.04,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,11_16,10-4C-L6000-S983-1,HC-4C,Half-Closed,6000,1,102,51,861.8,66.6,Fixed,L+D+F,LDF,523.54,607.50,0.13,91.03,151.00,2.61,67.56,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,11_17,10-4C-L6000-S492-1,HC-4C,Half-Closed,6000,1,102,51,861.6,64.8,Fixed,L+D+F,LDF,523.42,607.50,0.12,91.03,150.30,2.57,69.47,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,11_18,10-4C-L6000-S492-2,HC-4C,Half-Closed,6000,1,102,51,861.7,65.1,Fixed,L+D+F,LDF,523.48,607.50,0.12,91.03,151.90,2.60,68.02,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,11_19,10-4C-L6000-S492EFG-1,HC-4C,Half-Closed,6000,1,102,51,861.4,63.2,Fixed,L+D+F,LDF,523.3,607.50,0.12,91.03,151.50,2.59,68.36,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,12_1,C3-90-150-A1,C-U+C,Closed,298,1.18,93.6,42.3,445.6,97.4,Fixed,L,L,138.67,311.20,0.70,62.42,8.58,0.20,136.32,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,12_2,C3-90-150-A2,C-U+C,Closed,298,1.19,95,41.9,443.9,88,Fixed,L,L,138.67,312.39,0.63,62.42,8.58,0.20,136.32,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,12_3,C3-90-150-A3,C-U+C,Closed,298,1.18,94.5,41.3,444.5,89,Fixed,L,L,138.67,311.97,0.64,62.42,8.58,0.20,136.32,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,12_4,C3-140-150-A1,C-U+C,Closed,451,1.45,143.9,42.5,703.8,120.5,Fixed,L+D,LD,212.01,301.24,0.57,75.97,12.16,0.24,207.15,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,12_5,C3-140-150-A2,C-U+C,Closed,451,1.48,143.7,42.4,443.9,124.1,Fixed,L+D,LD,212.01,477.61,0.59,75.97,12.16,0.24,207.15,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,12_6,C3-140-150-A3,C-U+C,Closed,451,1.47,144.1,42.8,444.5,121.6,Fixed,L+D,LD,212.01,476.96,0.57,75.97,12.16,0.24,207.15,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,12_7,C3-160-300-A1,C-U+C,Closed,1520,2.46,163,138.6,2125.2,348.3,Fixed,D,D,611.17,287.58,0.57,192.42,14.33,0.19,601.69,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,12_8,C3-160-300-A2,C-U+C,Closed,1500,2.45,164,140.1,2136.5,349.5,Fixed,D,D,611.17,286.06,0.57,192.42,14.14,0.19,601.89,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,12_9,C3-160-300-A3,C-U+C,Closed,1500,2.46,164,138.1,2134.6,350.7,Fixed,D,D,611.17,286.32,0.57,192.42,14.14,0.19,601.89,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,12_10,C3-160-600-A1,C-U+C,Closed,1499,2.48,165,136,2126.8,332,Fixed,D,D,611.17,287.37,0.54,192.42,14.13,0.24,596.99,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,12_11,C3-160-600-A2,C-U+C,Closed,1499,2.48,162,138.5,2116,337.5,Fixed,D,D,611.17,288.83,0.55,192.42,14.13,0.24,596.99,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,12_12,C3-160-600-A3,C-U+C,Closed,1500,2.45,163,136.6,2119,337.7,Fixed,D,D,611.17,288.42,0.55,192.42,14.14,0.24,596.98,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,12_13,C3-160-1000-A1,C-U+C,Closed,1500,2.46,164,139.6,2122.5,310.6,Fixed,D,D,611.17,287.95,0.51,192.42,14.14,0.32,585.49,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,12_14,C3-160-1000-A2,C-U+C,Closed,1497.5,2.46,163,138.6,2121.8,315.6,Fixed,D,D,611.17,288.04,0.52,192.42,14.11,0.32,585.51,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,12_15,C3-160-1000-A3,C-U+C,Closed,1510,2.46,163,137.1,2133.4,312,Fixed,D,D,611.17,286.48,0.51,192.42,14.23,0.32,585.39,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,12_16,C3-180-300-A1,C-U+C,Closed,1500,2.45,176,141.6,2314.1,326.8,Fixed,D,D,653.03,282.20,0.50,177.13,13.38,0.18,644.12,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,12_17,C3-180-300-A2,C-U+C,Closed,1500,2.44,172,147.1,2315.7,320.9,Fixed,D,D,653.03,282.00,0.49,177.13,13.38,0.18,644.12,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,12_18,C3-180-300-A3,C-U+C,Closed,1500,2.46,174,150.1,2354.8,334.6,Fixed,D,D,653.03,277.32,0.51,177.13,13.38,0.18,644.12,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,12_19,C3-180-600-A1,C-U+C,Closed,1510,2.46,175,144.1,2345.5,324.6,Fixed,D,D,653.03,278.42,0.50,177.13,13.47,0.23,639.26,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,12_20,C3-180-600-A2,C-U+C,Closed,1500,2.43,178,146.1,2345.4,322.7,Fixed,D,D,653.03,278.43,0.49,177.13,13.38,0.22,639.36,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,12_21,C3-180-600-A3,C-U+C,Closed,1500,2.46,175,150.1,2327.6,324.1,Fixed,D,D,653.03,280.56,0.50,177.13,13.38,0.22,639.36,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,12_22,C3-180-1000-A1,C-U+C,Closed,1500,2.44,174,150.6,2350.1,315.5,Fixed,D,D,653.03,277.87,0.48,177.13,13.38,0.30,628.21,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,12_23,C3-180-1000-A2,C-U+C,Closed,1500,2.47,173,144.6,2316.2,311.2,Fixed,D,D,653.03,281.94,0.48,177.13,13.38,0.30,628.21,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,12_24,C3-180-1000-A3,C-U+C,Closed,1510,2.43,176,148.6,2320.6,316.6,Fixed,D,D,653.03,281.41,0.48,177.13,13.47,0.30,628.11,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,13_1,LC-90-A1,O-3C-1,Open,3030,1.2,92,42,711.67,95,Pinned ,L+FT,LF,228.8,321.50,0.42,127.34,109.43,1.78,63.01,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,13_2,LC-90-A2,O-3C-1,Open,3030,1.2,92,42,711.67,95.9,Pinned ,L+FT,LF,228.8,321.50,0.42,127.34,109.43,1.78,63.01,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,13_3,LC-90-A3,O-3C-1,Open,3030,1.2,92,42,711.67,98.3,Pinned ,L+FT,LF,228.8,321.50,0.43,127.34,109.43,1.78,63.01,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,13_4,MC-90-A1,O-3C-1,Open,1530,1.2,92,42,711.67,163.1,Pinned ,L+FT,LF,228.8,321.50,0.71,127.34,55.25,0.91,162.00,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,13_5,MC-90-A2,O-3C-1,Open,1530,1.2,92,42,711.67,148.1,Pinned ,L+FT,LF,228.8,321.50,0.65,127.34,55.25,0.91,162.00,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,13_6,MC-90-A3,O-3C-1,Open,1530,1.2,92,42,711.67,161.4,Pinned ,L+FT,LF,228.8,321.50,0.71,127.34,55.25,0.91,162.00,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,13_7,SC-90-A1,O-3C-1,Open,300,1.2,92,42,711.67,184.1,Fixed,L+D,LD,228.8,321.50,0.80,127.34,5.42,0.12,227.38,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,13_8,SC-90-A2,O-3C-1,Open,300,1.2,92,42,711.67,185,Fixed,L+D,LD,228.8,321.50,0.81,127.34,5.42,0.12,227.38,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,13_9,SC-90-A3,O-3C-1,Open,300,1.2,92,42,711.67,190.1,Fixed,L+D,LD,228.8,321.50,0.83,127.34,5.42,0.12,227.38,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,13_10,LC-140-A1,O-3C-3,Open,3030,1.5,143,43,1118.73,170.6,Pinned ,L+FT,LF,341.21,305.00,0.50,134.15,85.26,1.52,130.16,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,13_11,LC-140-A2,O-3C-3,Open,3030,1.5,143,43,1118.73,190.6,Pinned ,L+FT,LF,341.21,305.00,0.56,134.15,85.26,1.52,130.16,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,13_12,LC-140-A3,O-3C-3,Open,3030,1.5,143,43,1118.73,206.6,Pinned ,L+FT,LF,341.21,305.00,0.61,134.15,85.26,1.52,130.16,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,13_13,MC-140-A1,O-3C-3,Open,1530,1.5,143,43,1118.73,188.9,Pinned ,L+FT,LF,341.21,305.00,0.55,134.15,43.05,0.79,263.57,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,13_14,MC-140-A2,O-3C-3,Open,1530,1.5,143,43,1118.73,198.3,Pinned ,L+FT,LF,341.21,305.00,0.58,134.15,43.05,0.79,263.57,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,13_15,MC-140-A3,O-3C-3,Open,1530,1.5,143,43,1118.73,190.6,Pinned ,L+FT,LF,341.21,305.00,0.56,134.15,43.05,0.79,263.57,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,13_16,SC-140-A1,O-3C-3,Open,450,1.5,143,43,1118.73,210.1,Fixed,L+D,LD,341.21,305.00,0.62,134.15,6.33,0.12,339.03,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,13_17,SC-140-A2,O-3C-3,Open,450,1.5,143,43,1118.73,204.1,Fixed,L+D,LD,341.21,305.00,0.60,134.15,6.33,0.12,339.03,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,13_18,SC-140-A3,O-3C-3,Open,450,1.5,143,43,1118.73,175.1,Fixed,L+D,LD,341.21,305.00,0.51,134.15,6.33,0.12,339.03,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,14_1,LB92-A1,C-U+C,Closed,3000,1.2,92,42,426.3,23.8,Pinned,F ,F ,140.5,329.58,0.17,64.99,184.65,2.29,23.46,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,14_2,LB92-A2,C-U+C,Closed,3000,1.2,92,42,427.5,23.4,Pinned,F ,F ,140.5,328.65,0.17,64.99,184.65,2.29,23.46,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,14_3,LB92-A3,C-U+C,Closed,3000,1.2,92,42,425.9,26.9,Pinned,F ,F ,140.5,329.89,0.19,64.99,184.65,2.29,23.46,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,14_4,MB92-A1,C-U+C,Closed,1500,1.2,92,42,427.4,60.6,Pinned,F ,F ,140.5,328.73,0.43,64.99,98.10,1.25,73.22,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,14_5,MB92-A2,C-U+C,Closed,1500,1.2,92,42,431.5,52.2,Pinned,F ,F ,140.5,325.61,0.37,64.99,98.10,1.25,73.22,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,14_6,MB92-A3,C-U+C,Closed,1500,1.2,92,42,430.9,59,Pinned,F ,F ,140.5,326.06,0.42,64.99,98.10,1.25,73.22,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,14_7,SB92-A1,C-U+C,Closed,270,1.2,92,42,431.2,97.4,Fixed,L ,L ,140.5,325.83,0.69,64.99,7.79,0.14,139.41,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,14_8,SB92-A2,C-U+C,Closed,270,1.2,92,42,427.4,88,Fixed,L ,L ,140.5,328.73,0.63,64.99,7.79,0.14,139.41,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,14_9,SB92-A3,C-U+C,Closed,270,1.2,92,42,428.3,89,Fixed,L ,L ,140.5,328.04,0.63,64.99,7.79,0.14,139.41,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,14_10,LB143-A1,C-U+C,Closed,3000,1.5,143,43,683,42.8,Pinned,F ,F ,211.54,309.72,0.20,75.31,171.95,2.10,41.91,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,14_11,LB143-A2,C-U+C,Closed,3000,1.5,143,43,678.9,38.1,Pinned,F ,F ,211.54,311.59,0.18,75.31,171.95,2.10,41.91,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,14_12,LB143-A3,C-U+C,Closed,3000,1.5,143,43,683.3,42.1,Pinned,F ,F ,211.54,309.59,0.20,75.31,171.95,2.10,41.91,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,14_13,MB143-A1,C-U+C,Closed,1500,1.5,143,43,686.7,91.4,Pinned,F ,F ,211.54,308.05,0.43,75.31,91.35,1.15,121.26,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,14_14,MB143-A2,C-U+C,Closed,1500,1.5,143,43,689.1,83.6,Pinned,F ,F ,211.54,306.98,0.40,75.31,91.35,1.15,121.26,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,14_15,MB143-A3,C-U+C,Closed,1500,1.5,143,43,688.6,85.9,Pinned,F ,F ,211.54,307.20,0.41,75.31,91.35,1.15,121.26,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,14_16,SB143-A1,C-U+C,Closed,420,1.5,143,43,686,99.5,Fixed,L ,L ,211.54,308.37,0.47,75.31,11.28,0.21,207.77,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,14_17,SB143-A2,C-U+C,Closed,420,1.5,143,43,687,104.1,Fixed,L ,L ,211.54,307.92,0.49,75.31,11.28,0.21,207.77,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,14_18,SB143-A3,C-U+C,Closed,420,1.5,143,43,692.5,101.6,Fixed,L ,L ,211.54,305.47,0.48,75.31,11.28,0.21,207.77,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,15_1,LDB90-A1,C-2C+2U-1,Closed,3000,1.2,92,42,861.2,92.9,Pinned,F,F,276.88,321.50,0.34,64.99,108.95,1.38,125.18,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,15_2,LDB90-A2,C-2C+2U-1,Closed,3000,1.2,92,42,868.7,100.9,Pinned,F,F,279.29,321.50,0.36,64.99,108.95,1.38,126.27,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,15_3,LDB90-A3,C-2C+2U-1,Closed,3000,1.2,92,42,866.6,105.6,Pinned,F,F,278.61,321.50,0.38,64.99,108.95,1.38,125.96,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,15_4,MDB90-A1,C-2C+2U-1,Closed,1500,1.2,92,42,869.6,129.2,Pinned,L ,L ,279.58,321.50,0.46,64.99,57.88,0.78,216.55,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,15_5,MDB90-A2,C-2C+2U-1,Closed,1500,1.2,92,42,860.3,154.1,Pinned,L ,L ,276.59,321.50,0.56,64.99,57.88,0.78,214.24,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,15_6,MDB90-A3,C-2C+2U-1,Closed,1500,1.2,92,42,862.4,116,Pinned,L ,L ,277.26,321.50,0.42,64.99,57.88,0.78,214.76,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,15_7,SDB90-A1,C-2C+2U-1,Closed,270,1.2,92,42,860.6,168.6,Fixed,L ,L ,276.68,321.50,0.61,64.99,4.60,0.11,275.23,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,15_8,SDB90-A2,C-2C+2U-1,Closed,270,1.2,92,42,870.8,148.4,Fixed,L ,L ,279.96,321.50,0.53,64.99,4.60,0.11,278.49,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,15_9,SDB90-A3,C-2C+2U-1,Closed,270,1.2,92,42,862,162.5,Fixed,L ,L ,277.13,321.50,0.59,64.99,4.60,0.11,275.68,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,15_10,LDB140-A1,C-2C+2U-1,Closed,3000,1.5,143,43,1367.5,131.8,Pinned,F,F,417.09,305.00,0.32,75.31,105.96,1.32,200.48,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,15_11,LDB140-A2,C-2C+2U-1,Closed,3000,1.5,143,43,1367.5,147.1,Pinned,F,F,417.09,305.00,0.35,75.31,105.96,1.32,200.48,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,15_12,LDB140-A3,C-2C+2U-1,Closed,3000,1.5,143,43,1371.9,134.6,Pinned,F,F,418.43,305.00,0.32,75.31,105.96,1.32,201.13,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,15_13,MDB140-A1,C-2C+2U-1,Closed,1500,1.5,143,43,1369.4,185.1,Pinned,L+F,LF,417.67,305.00,0.44,75.31,56.29,0.76,328.42,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,15_14,MDB140-A2,C-2C+2U-1,Closed,1500,1.5,143,43,1383.2,167.6,Pinned,L,L,421.88,305.00,0.40,75.31,56.29,0.76,331.73,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
